ime="TEST channel" url="plugin://plugin.video.p2p-streams/?url=acestream://b3afd13fb3c5f0c5b548a8195046fc6da2e4e27e&mode=1&name=test" img="-"

ime="DW-TV" 		url="http://hlsstr04.svc.iptv.rt.ru/hls/CH_DEUTSCHEWELLE/variant.m3u8?version=2" 		img="http://www.dw.de/cssi/dwlogo-print.gif"

ime="VIASAT EXPLORER RU" 	url="http://hlsstr01.svc.iptv.rt.ru/hls/CH_VIASATEXPLORER/variant.m3u8?version=2" 		img="-"

ime="VIASAT HISTORY RU" 	url="http://hlsstr02.svc.iptv.rt.ru/hls/CH_VIASATHISTORY/variant.m3u8?version=2" 		img="-"

ime="VIASAT NATURE RU" 	url="http://hlsstr03.svc.iptv.rt.ru/hls/CH_VIASATNATURE/variant.m3u8?version=2" 		img="-"


ime="SRF1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:srf1_hd/playlist.m3u8" img="-"
ime="SRF2_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:srf2_hd/playlist.m3u8" img="-"
ime="ARD_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:ard_hd/playlist.m3u8" img="-"
ime="ZDF_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:zdf_hd/playlist.m3u8" img="-"
ime="3PLUS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:3plus/playlist.m3u8" img="-"
ime="4PLUS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:4plus/playlist.m3u8" img="-"
ime="ORF1_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:orf1_hd/playlist.m3u8" img="-"
ime="ORF2_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:orf2_hd/playlist.m3u8" img="-"
ime="ARTE_HD_DE" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:arte_hd_de/playlist.m3u8" img="-"
ime="3SAT_HD_CH" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:3sat_hd_ch/playlist.m3u8" img="-"
ime="SRFINFO" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:srfinfo/playlist.m3u8" img="-"
ime="N24_CH" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:n24_ch/playlist.m3u8" img="-"
ime="BAYERN3" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bayern3/playlist.m3u8" img="-"
ime="SWR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:swr/playlist.m3u8" img="-"
ime="MTV_CH" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:mtv_ch/playlist.m3u8" img="-"
ime="JOIZ" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:joiz/playlist.m3u8" img="-"
ime="DELUXEMUSIC" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:deluxemusic/playlist.m3u8" img="-"
ime="KIKA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:kika/playlist.m3u8" img="-"
ime="NICKELODEON" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:nickelodeon/playlist.m3u8" img="-"
ime="EUROSPORT_DE" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:eurosport_de/playlist.m3u8" img="-"
ime="SPORT1" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:sport1/playlist.m3u8" img="-"
ime="WDR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:wdr/playlist.m3u8" img="-"
ime="MDR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:mdr/playlist.m3u8" img="-"
ime="NDR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:ndr/playlist.m3u8" img="-"
ime="DMAX_CH" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:dmax_ch/playlist.m3u8" img="-"
ime="CHTV_HD" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:chtv_hd/playlist.m3u8" img="-"
ime="BLOOMBERGTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:bloombergtv/playlist.m3u8" img="-"
ime="VIVA_CH" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:viva_ch/playlist.m3u8" img="-"
ime="SSF" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:ssf/playlist.m3u8" img="-"
ime="STARTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:startv/playlist.m3u8" img="-"
ime="ZUERIPLUS" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:zueriplus/playlist.m3u8" img="-"
ime="RBB" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rbb/playlist.m3u8" img="-"
ime="TELETICINO" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:teleticino/playlist.m3u8" img="-"
ime="SERVUSTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:servustv/playlist.m3u8" img="-"
ime="TELE5" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:tele5/playlist.m3u8" img="-"
ime="DISNEYCHANNEL" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:disneychannel/playlist.m3u8" img="-"
ime="HR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:hr/playlist.m3u8" img="-"
ime="ZDFINFO" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:zdfinfo/playlist.m3u8" img="-"
ime="ARDALPHA" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:ardalpha/playlist.m3u8" img="-"
ime="ZDFNEO" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:zdfneo/playlist.m3u8" img="-"
ime="ZDFKULTUR" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:zdfkultur/playlist.m3u8" img="-"
ime="RICTV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:rictv/playlist.m3u8" img="-"
ime="PHOENIX" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:phoenix/playlist.m3u8" img="-"
ime="ATV" url="http://ipm.iphone-tv.eu:1345/Live/Auth:test/Channel:atv/playlist.m3u8" img="-"
